witness_id,source_id,operator_id,conjugate_operator_id,left_path,right_path,left_defined,right_defined,left_target_id,right_target_id,domain_matches,target_matches,result
covariance:L2:3659,3659,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3661,3661,L2,L1,L2;M,M;L1,true,true,3877,3877,true,true,PASS
covariance:L2:3667,3667,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3669,3669,L2,L1,L2;M,M;L1,true,true,3881,3881,true,true,PASS
covariance:L2:3673,3673,L2,L1,L2;M,M;L1,true,true,1941,1941,true,true,PASS
covariance:L2:3683,3683,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3685,3685,L2,L1,L2;M,M;L1,true,true,3889,3889,true,true,PASS
covariance:L2:3689,3689,L2,L1,L2;M,M;L1,true,true,1945,1945,true,true,PASS
covariance:L2:3697,3697,L2,L1,L2;M,M;L1,true,true,973,973,true,true,PASS
covariance:L2:3719,3719,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3723,3723,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3725,3725,L2,L1,L2;M,M;L1,true,true,3909,3909,true,true,PASS
covariance:L2:3731,3731,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3733,3733,L2,L1,L2;M,M;L1,true,true,3913,3913,true,true,PASS
covariance:L2:3737,3737,L2,L1,L2;M,M;L1,true,true,1957,1957,true,true,PASS
covariance:L2:3747,3747,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3749,3749,L2,L1,L2;M,M;L1,true,true,3921,3921,true,true,PASS
covariance:L2:3753,3753,L2,L1,L2;M,M;L1,true,true,1961,1961,true,true,PASS
covariance:L2:3761,3761,L2,L1,L2;M,M;L1,true,true,981,981,true,true,PASS
covariance:L2:3779,3779,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3781,3781,L2,L1,L2;M,M;L1,true,true,3937,3937,true,true,PASS
covariance:L2:3785,3785,L2,L1,L2;M,M;L1,true,true,1969,1969,true,true,PASS
